Most scored home team,Scores at home stadium,Home arena
Golden State Warriors,6014,Chase Center
Boston Celtics,5795,TD Garden
Miami Heat,5609,FTX Arena
Phoenix Suns,5520,Phoenix Suns Arena
Memphis Grizzlies,5519,FedEx Forum
Milwaukee Bucks,5352,Fiserv Forum
Dallas Mavericks,5294,American Airlines Center
Philadelphia 76ers,5154,Wells Fargo Center
Atlanta Hawks,5112,State Farm Arena
Utah Jazz,5102,Vivint Smart Home Arena
Minnesota Timberwolves,5080,Target Center
New Orleans Pelicans,5017,Smoothie King Center
Denver Nuggets,4945,Ball Arena
Toronto Raptors,4859,Scotiabank Arena
Chicago Bulls,4858,United Center
Brooklyn Nets,4858,Barclays Center
Indiana Pacers,4683,Gainbridge Fieldhouse
San Antonio Spurs,4658,AT&T Center
Charlotte Hornets,4652,Spectrum Center
Los Angeles Lakers,4607,Crypto.com Arena
Los Angeles Clippers,4605,Crypto.com Arena
Houston Rockets,4589,Toyota Center
Washington Wizards,4588,Capital One Arena
Cleveland Cavaliers,4532,Rocket Mortgage Fieldhouse
Sacramento Kings,4523,Golden 1 Center
Portland Trail Blazers,4461,Moda Center
New York Knicks,4346,Madison Square Garden (IV)
Detroit Pistons,4308,Little Caesars Arena
Oklahoma City Thunder,4291,Paycom Center
Orlando Magic,4273,Amway Center
