Home Arena,Game average start time,Total Attendants
Crypto.com Arena,9:22 PM,1477704
FTX Arena,7:28 PM,1002918
American Airlines Center,7:56 PM,972527
Wells Fargo Center,6:55 PM,972277
TD Garden,6:36 PM,957800
Chase Center,9:27 PM,957392
United Center,7:39 PM,900835
Fiserv Forum,7:24 PM,821414
Vivint Smart Home Arena,9:04 PM,805464
Phoenix Suns Arena,9:09 PM,782668
Rocket Mortgage Fieldhouse,6:51 PM,777660
Barclays Center,7:01 PM,765545
Madison Square Garden (IV),6:12 PM,763484
FedEx Forum,7:38 PM,753549
Ball Arena,8:42 PM,734517
Target Center,8:00 PM,734073
State Farm Arena,7:11 PM,728251
Smoothie King Center,7:54 PM,711185
Moda Center,9:48 PM,705608
Spectrum Center,6:47 PM,700755
Little Caesars Arena,6:13 PM,663556
Capital One Arena,6:42 PM,641499
Toyota Center,7:32 PM,638977
Amway Center,6:46 PM,622881
AT&T Center,8:18 PM,615588
Scotiabank Arena,7:00 PM,606743
Paycom Center,7:45 PM,595112
Gainbridge Fieldhouse,6:38 PM,588743
Golden 1 Center,9:17 PM,577583
