team,total_attendees
Boston Celtics,1902011
Golden State Warriors,1877874
Dallas Mavericks,1850693
Miami Heat,1833706
Philadelphia 76ers,1771102
Chicago Bulls,1681705
Milwaukee Bucks,1666656
Phoenix Suns,1596314
Memphis Grizzlies,1594884
Utah Jazz,1522949
Brooklyn Nets,1519583
Los Angeles Lakers,1510007
Cleveland Cavaliers,1497905
Atlanta Hawks,1489633
Minnesota Timberwolves,1476730
New York Knicks,1472399
Denver Nuggets,1463308
New Orleans Pelicans,1433831
Charlotte Hornets,1419028
Los Angeles Clippers,1406623
Toronto Raptors,1375424
Portland Trail Blazers,1368007
Detroit Pistons,1334342
Orlando Magic,1322451
Houston Rockets,1321849
Washington Wizards,1319075
San Antonio Spurs,1311795
Indiana Pacers,1277319
Oklahoma City Thunder,1277272
Sacramento Kings,1258141
